Utterance,activityId
every,017CDA554B3311E9BEA916071609B6A6
day,017CDA554B3311E9BEA916071609B6A6
during,017CDA554B3311E9BEA916071609B6A6
recess,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
jason,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
their,017CDA554B3311E9BEA916071609B6A6
classmates,017CDA554B3311E9BEA916071609B6A6
played,017CDA554B3311E9BEA916071609B6A6
together,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
didnt,017CDA554B3311E9BEA916071609B6A6
play,017CDA554B3311E9BEA916071609B6A6
with,017CDA554B3311E9BEA916071609B6A6
anybody,017CDA554B3311E9BEA916071609B6A6
instead,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
tossed,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
playground,017CDA554B3311E9BEA916071609B6A6
balls,017CDA554B3311E9BEA916071609B6A6
over,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
fence,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
threw,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
swings,017CDA554B3311E9BEA916071609B6A6
up,017CDA554B3311E9BEA916071609B6A6
over,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
swing,017CDA554B3311E9BEA916071609B6A6
set,017CDA554B3311E9BEA916071609B6A6
bars,017CDA554B3311E9BEA916071609B6A6
so,017CDA554B3311E9BEA916071609B6A6
no,017CDA554B3311E9BEA916071609B6A6
one,017CDA554B3311E9BEA916071609B6A6
could,017CDA554B3311E9BEA916071609B6A6
swing,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
even,017CDA554B3311E9BEA916071609B6A6
called,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
other,017CDA554B3311E9BEA916071609B6A6
kids,017CDA554B3311E9BEA916071609B6A6
abcabcname,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
stole,017CDA554B3311E9BEA916071609B6A6
their,017CDA554B3311E9BEA916071609B6A6
snacks,017CDA554B3311E9BEA916071609B6A6
all,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
kids,017CDA554B3311E9BEA916071609B6A6
at,017CDA554B3311E9BEA916071609B6A6
school,017CDA554B3311E9BEA916071609B6A6
were,017CDA554B3311E9BEA916071609B6A6
afraid,017CDA554B3311E9BEA916071609B6A6
of,017CDA554B3311E9BEA916071609B6A6
him,017CDA554B3311E9BEA916071609B6A6
one,017CDA554B3311E9BEA916071609B6A6
friday,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
missed,017CDA554B3311E9BEA916071609B6A6
school,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
everyone,017CDA554B3311E9BEA916071609B6A6
enjoyed,017CDA554B3311E9BEA916071609B6A6
recess,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
said,017CDA554B3311E9BEA916071609B6A6
recess,017CDA554B3311E9BEA916071609B6A6
should,017CDA554B3311E9BEA916071609B6A6
be,017CDA554B3311E9BEA916071609B6A6
like,017CDA554B3311E9BEA916071609B6A6
this,017CDA554B3311E9BEA916071609B6A6
every,017CDA554B3311E9BEA916071609B6A6
day,017CDA554B3311E9BEA916071609B6A6
they,017CDA554B3311E9BEA916071609B6A6
hoped,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
would,017CDA554B3311E9BEA916071609B6A6
not,017CDA554B3311E9BEA916071609B6A6
be,017CDA554B3311E9BEA916071609B6A6
back,017CDA554B3311E9BEA916071609B6A6
but,017CDA554B3311E9BEA916071609B6A6
on,017CDA554B3311E9BEA916071609B6A6
monday,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
showed,017CDA554B3311E9BEA916071609B6A6
up,017CDA554B3311E9BEA916071609B6A6
with,017CDA554B3311E9BEA916071609B6A6
a,017CDA554B3311E9BEA916071609B6A6
big,017CDA554B3311E9BEA916071609B6A6
cast,017CDA554B3311E9BEA916071609B6A6
on,017CDA554B3311E9BEA916071609B6A6
his,017CDA554B3311E9BEA916071609B6A6
right,017CDA554B3311E9BEA916071609B6A6
arm,017CDA554B3311E9BEA916071609B6A6
all,017CDA554B3311E9BEA916071609B6A6
of,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
other,017CDA554B3311E9BEA916071609B6A6
kids,017CDA554B3311E9BEA916071609B6A6
wanted,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
know,017CDA554B3311E9BEA916071609B6A6
what,017CDA554B3311E9BEA916071609B6A6
happened,017CDA554B3311E9BEA916071609B6A6
but,017CDA554B3311E9BEA916071609B6A6
no,017CDA554B3311E9BEA916071609B6A6
one,017CDA554B3311E9BEA916071609B6A6
dared,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
ask,017CDA554B3311E9BEA916071609B6A6
that,017CDA554B3311E9BEA916071609B6A6
day,017CDA554B3311E9BEA916071609B6A6
at,017CDA554B3311E9BEA916071609B6A6
recess,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
jason,017CDA554B3311E9BEA916071609B6A6
ran,017CDA554B3311E9BEA916071609B6A6
out,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
play,017CDA554B3311E9BEA916071609B6A6
they,017CDA554B3311E9BEA916071609B6A6
noticed,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
lagging,017CDA554B3311E9BEA916071609B6A6
behind,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
was,017CDA554B3311E9BEA916071609B6A6
struggling,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
tie,017CDA554B3311E9BEA916071609B6A6
his,017CDA554B3311E9BEA916071609B6A6
shoe,017CDA554B3311E9BEA916071609B6A6
should,017CDA554B3311E9BEA916071609B6A6
we,017CDA554B3311E9BEA916071609B6A6
help,017CDA554B3311E9BEA916071609B6A6
him,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
asked,017CDA554B3311E9BEA916071609B6A6
no,017CDA554B3311E9BEA916071609B6A6
way,017CDA554B3311E9BEA916071609B6A6
said,017CDA554B3311E9BEA916071609B6A6
jason,017CDA554B3311E9BEA916071609B6A6
but,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
walked,017CDA554B3311E9BEA916071609B6A6
slowly,017CDA554B3311E9BEA916071609B6A6
over,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
anyway,017CDA554B3311E9BEA916071609B6A6
can,017CDA554B3311E9BEA916071609B6A6
i,017CDA554B3311E9BEA916071609B6A6
help,017CDA554B3311E9BEA916071609B6A6
you,017CDA554B3311E9BEA916071609B6A6
she,017CDA554B3311E9BEA916071609B6A6
asked,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
looked,017CDA554B3311E9BEA916071609B6A6
up,017CDA554B3311E9BEA916071609B6A6
at,017CDA554B3311E9BEA916071609B6A6
her,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
grunted,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
bent,017CDA554B3311E9BEA916071609B6A6
down,017CDA554B3311E9BEA916071609B6A6
and,017CDA554B3311E9BEA916071609B6A6
quickly,017CDA554B3311E9BEA916071609B6A6
tied,017CDA554B3311E9BEA916071609B6A6
his,017CDA554B3311E9BEA916071609B6A6
shoe,017CDA554B3311E9BEA916071609B6A6
then,017CDA554B3311E9BEA916071609B6A6
she,017CDA554B3311E9BEA916071609B6A6
ran,017CDA554B3311E9BEA916071609B6A6
back,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
jason,017CDA554B3311E9BEA916071609B6A6
why,017CDA554B3311E9BEA916071609B6A6
did,017CDA554B3311E9BEA916071609B6A6
you,017CDA554B3311E9BEA916071609B6A6
help,017CDA554B3311E9BEA916071609B6A6
him,017CDA554B3311E9BEA916071609B6A6
asked,017CDA554B3311E9BEA916071609B6A6
jason,017CDA554B3311E9BEA916071609B6A6
hes,017CDA554B3311E9BEA916071609B6A6
never,017CDA554B3311E9BEA916071609B6A6
nice,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
us,017CDA554B3311E9BEA916071609B6A6
mary,017CDA554B3311E9BEA916071609B6A6
shrugged,017CDA554B3311E9BEA916071609B6A6
maybe,017CDA554B3311E9BEA916071609B6A6
if,017CDA554B3311E9BEA916071609B6A6
were,017CDA554B3311E9BEA916071609B6A6
nice,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
him,017CDA554B3311E9BEA916071609B6A6
hell,017CDA554B3311E9BEA916071609B6A6
start,017CDA554B3311E9BEA916071609B6A6
 ,017CDA554B3311E9BEA916071609B6A6
 ,017CDA554B3311E9BEA916071609B6A6
a,017CDA554B3311E9BEA916071609B6A6
little,017CDA554B3311E9BEA916071609B6A6
nicer,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
us,017CDA554B3311E9BEA916071609B6A6
over,017CDA554B3311E9BEA916071609B6A6
the,017CDA554B3311E9BEA916071609B6A6
next,017CDA554B3311E9BEA916071609B6A6
few,017CDA554B3311E9BEA916071609B6A6
weeks,017CDA554B3311E9BEA916071609B6A6
adam,017CDA554B3311E9BEA916071609B6A6
needed,017CDA554B3311E9BEA916071609B6A6
help,017CDA554B3311E9BEA916071609B6A6
many,017CDA554B3311E9BEA916071609B6A6
times,017CDA554B3311E9BEA916071609B6A6
